"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000067048.15"	2143.95098500868	12.838881115221	2.1928506738095	5.85488162443676	4.77349893670861e-09	2.14454547561236e-07
"ENSG00000067167.6"	24504.5959817343	-0.6058072550878	0.204661114437204	-2.96005060244934	0.00307588515545858	0.0281263226015772
"ENSG00000067646.10"	561.698072046892	25.7187744789843	3.74823612362421	6.86156731612642	6.81090954449092e-12	4.89452873033353e-10
"ENSG00000070182.16"	572.048220389156	0.863732995700349	0.245026341745613	3.52506179354821	0.000423384016748954	0.00561453888673441
"ENSG00000072736.17"	5897.39314584737	0.67294561737795	0.122131229865898	5.51002080398975	3.58791290515783e-08	1.34064862145477e-06
"ENSG00000075303.11"	2185.58931251883	-0.681277707547617	0.20755465318687	-3.282401512503	0.00102926933421166	0.0117213858171414
"ENSG00000077458.11"	2589.46234848973	-0.860043025803912	0.157921494373918	-5.44601625772074	5.15104304810524e-08	1.8663371244798e-06
"ENSG00000077498.8"	3.14615117861095	2.29203904594547	0.79653429194374	2.87751458929951	0.00400821375605483	0.0345708436459729
"ENSG00000078328.18"	17.4521521064877	1.40060865416186	0.479351483034559	2.92188238428979	0.00347922899145821	0.0309564689972076
"ENSG00000081087.13"	3434.6063789042	-0.619934534237218	0.203890741402204	-3.04052322324096	0.00236167477864631	0.0228056010545723
"ENSG00000082269.15"	1708.74902341554	-0.611748541994222	0.162131198356893	-3.77316980441732	0.000161186502657005	0.00250591475719629
"ENSG00000084093.14"	6348.21318860555	0.649234205107096	0.180357731088223	3.59970266419862	0.000318581255831286	0.00444422776459286
"ENSG00000084628.8"	22.568935499582	2.34328191715883	0.683965852842068	3.42602179249423	0.000612491238208753	0.00761776355801609
"ENSG00000085224.19"	16216.4227077677	1.04742418407844	0.205458385618721	5.09798702508157	3.4328434200201e-07	1.07705462303131e-05
"ENSG00000091656.14"	569.949235797996	1.380184487436	0.438410578040393	3.14815507783855	0.00164304501585953	0.017197097706041
"ENSG00000092054.12"	92.6943679199394	3.2387188622849	1.163717060907	2.78308101778679	0.00538453584785649	0.0437507747356446
"ENSG00000092140.13"	1629.15049815955	-0.590987348087016	0.131836707679453	-4.48272228948511	7.36968102358164e-06	0.000168495717026284
"ENSG00000092377.12"	19.6877009412255	7.8606459004336	2.27048518085407	3.46209962818464	0.000535978709719823	0.00683317670421544
"ENSG00000092607.12"	136.242894656077	1.42842223687083	0.474325736342134	3.01147951170944	0.00259977946475012	0.0245766727114106
"ENSG00000092853.12"	743.95683178216	0.951244915052291	0.258606718615762	3.67834571407889	0.000234751626793433	0.00344110319461318
"ENSG00000095209.10"	961.49496598634	-0.988268390620573	0.262721931436079	-3.76165166424646	0.000168795019320601	0.00260317091684193
"ENSG00000096092.5"	1683.48990332287	-0.670686567426562	0.123853179279881	-5.41517441317316	6.12289921884082e-08	2.19777184603325e-06
"ENSG00000099385.10"	6188.04543350274	0.906576337666835	0.286762302721018	3.16142090178714	0.00157001452470205	0.016574874461027
"ENSG00000099625.11"	239.480754978743	1.49132283330557	0.51150211561584	2.91557510277361	0.00355033646273866	0.0313795749926873
"ENSG00000099725.13"	947.178735553678	5.58061318279513	1.78988501253787	3.11786128366001	0.00182168521689507	0.0185805455073061
"ENSG00000099822.2"	51.0293126173671	1.64716297770274	0.337475897664866	4.88083145818748	1.05639497942188e-06	2.96047000786529e-05
"ENSG00000100154.13"	6409.30916512134	0.758056587404594	0.27335921015421	2.77311522438535	0.00555224574934246	0.0447460884750405
"ENSG00000100156.9"	119.973099230976	0.946550670940653	0.327869798841497	2.88697121322311	0.00388969816481008	0.0337418895649115
"ENSG00000100744.13"	1907.95803781233	-0.679764674169955	0.23751214067681	-2.86202074653073	0.00420949351345734	0.035904564471592
"ENSG00000101166.14"	4625.33221999523	-0.597439167669037	0.214337547604647	-2.78737521421601	0.00531369146132005	0.0432868402721552
"ENSG00000101470.8"	116.955250610142	2.0657843696651	0.643420718370284	3.21062768214476	0.00132445414350519	0.0143678179213069
"ENSG00000101888.10"	2168.77624052852	-0.599986882565352	0.204441066368919	-2.93476693905843	0.00333798300565108	0.0299536412823166
"ENSG00000102471.12"	4003.62461056545	-0.644438354190359	0.169721919297472	-3.79702490319384	0.000146443082615479	0.00230149523395416
"ENSG00000104221.11"	1945.90927006141	-0.818093105097519	0.107208481839853	-7.63086176632533	2.33189616472406e-14	2.34802963237535e-12
"ENSG00000104427.10"	2024.8539744315	-0.911332467177911	0.147055293344222	-6.19720954243175	5.7472965054609e-10	2.98463053007728e-08
"ENSG00000104497.12"	889.325559189801	-0.774694451073343	0.175823551290273	-4.40609034107367	1.05253079807077e-05	0.000229871133566049
"ENSG00000104833.9"	75.2764515918063	1.26429913424148	0.248082597255544	5.0962830453567	3.46387114213596e-07	1.08482430941506e-05
"ENSG00000104848.1"	9.45416366267171	1.9485530705514	0.555436711575779	3.50814598664775	0.000451241356691149	0.005931726039115
"ENSG00000104879.4"	461.752852052935	2.93930219495918	0.815870920757821	3.60265591060533	0.000314982359629512	0.00440868093114286
"ENSG00000104941.6"	5.88705738153534	2.65524574615023	0.850796425836049	3.12089433561149	0.00180302716722821	0.018471829345889
"ENSG00000105464.3"	211.788810615618	1.1591842368909	0.337749321436106	3.43208457669749	0.000598960734560928	0.00749252507176649
"ENSG00000105855.8"	1440.52169767347	-0.857234764758091	0.301986065215065	-2.8386566914854	0.00453038701169315	0.0380697586877796
"ENSG00000105866.12"	1252.31929717592	-0.675983065116555	0.213507105925046	-3.16609164921127	0.00154502106103759	0.016351677811614
"ENSG00000105988.6"	10.8354857262351	1.39228100090677	0.485875673369401	2.86550876534263	0.00416339746694019	0.0355655477161944
"ENSG00000106460.17"	5383.72941024351	-0.624568377525104	0.174845168695212	-3.57212259386957	0.000354099570442025	0.00485946946155739
"ENSG00000106701.10"	1134.67316212196	-0.929472982000858	0.323820995557454	-2.87032957946652	0.00410044162544291	0.0351417085278439
"ENSG00000107890.15"	3414.27357193531	1.29199155636627	0.197893739339652	6.52871364540128	6.63369382826059e-11	4.06686525350956e-09
"ENSG00000108106.12"	4363.40585292869	0.75143358728117	0.189185067375195	3.97194978285953	7.12867495955541e-05	0.00125024325695737
"ENSG00000108785.7"	52.755052843852	-1.31896891061923	0.372235912087418	-3.54336824521508	0.000395050653726231	0.00529557451384257
"ENSG00000109061.9"	251.028738584666	8.28464454545742	2.07318161774833	3.99610167991713	6.43940847741403e-05	0.0011461882365913
"ENSG00000110422.10"	8655.62649955626	-0.634693694232917	0.173541838037637	-3.65729498667213	0.000254890982454657	0.00368793393912464
"ENSG00000110427.13"	191.066013639496	2.0012370443564	0.626430020705589	3.19466976072168	0.00139990926601996	0.0150673026466466
"ENSG00000111325.15"	2796.87460985923	-0.64288656607734	0.205173791160549	-3.13337567357363	0.00172808109584404	0.0178945509709554
"ENSG00000111711.8"	3245.10820656643	-0.625670908489345	0.196540424308631	-3.18342097148851	0.00145545838178947	0.0155551272534476
"ENSG00000112739.15"	13300.3002528162	0.618549457824618	0.168064706733202	3.68042446179107	0.000232846031362199	0.00342252158136883
"ENSG00000112761.17"	46.3418545448802	-0.783671358040116	0.243812760897495	-3.21423437869026	0.00130792864281599	0.0142245993495441
"ENSG00000113520.9"	3.94868953038435	-2.34071298044494	0.726950310162346	-3.21990780899756	0.0012823182770731	0.0140249259492448
"ENSG00000113638.11"	1327.69532182169	-0.602955587403543	0.155237291656453	-3.88408984059005	0.000102713925629892	0.00169661657413838
"ENSG00000114331.11"	5543.73181515626	-0.619230879931235	0.17249650699726	-3.58981692273381	0.000330910289598077	0.00458618930159166
"ENSG00000114374.11"	980.801084709343	13.2424263565476	2.45001592157403	5.40503685708291	6.47950677683393e-08	2.31856565842948e-06
"ENSG00000114786.14"	168.509249159285	-1.90575277689404	0.602656002985403	-3.16225635761268	0.00156551678661245	0.0165324300166714
"ENSG00000115266.10"	197.219696690135	1.63224319167308	0.382721540942858	4.26483230510608	2.00052397693476e-05	0.000409056372568277
"ENSG00000115271.9"	3000.93426466415	-0.857909788989786	0.230396140637251	-3.72362916590921	0.000196379317074307	0.00294512333432999
"ENSG00000115295.18"	2211.16827773211	-0.732595233961744	0.181770142890211	-4.03033865910657	5.56965483856571e-05	0.00100742404333284
"ENSG00000115355.14"	10156.8286840355	0.642693766918875	0.205683285337198	3.12467668855659	0.00178000584697302	0.0182900749117328
"ENSG00000116035.2"	42.4462799698483	1.34660970039767	0.464809024023585	2.89712469164398	0.00376600039788734	0.0328498417985448
"ENSG00000116652.6"	38.2759746989537	0.931018017136306	0.336484796559724	2.7668947502389	0.00565930227831529	0.0453034847488836
"ENSG00000116748.18"	10.9408684207326	4.2432959022566	1.13570192771266	3.73627604102313	0.00018676563861949	0.00282373993474548
"ENSG00000117242.7"	1315.58274907845	0.704487062138436	0.166884909201923	4.22139464561197	2.4279542872542e-05	0.000484444012683819
"ENSG00000117523.14"	26595.6461778005	0.599207384312863	0.169049467678469	3.54456830028328	0.000393256602160317	0.00527560890225758
"ENSG00000117691.8"	3968.5785426503	0.626398185461554	0.220573015693887	2.83986771224488	0.00451322457574131	0.0379531616544131
