			log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000211802.3	ENSG00000211802	3	2.054351792	0.50201011	4.092251833	4.27E-05	0.000691578
ENSG00000123610.4	ENSG00000123610	4	2.053957558	0.383247717	5.35934714	8.35E-08	3.97E-06
ENSG00000256262.1	ENSG00000256262	1	2.052015475	0.544881684	3.76598358	0.000165895	0.002004297
ENSG00000138135.6	ENSG00000138135	6	2.051337384	0.545385831	3.761259035	0.00016906	0.002036058
ENSG00000240350.2	ENSG00000240350	2	2.04318556	0.518467648	3.940815915	8.12E-05	0.001144512
ENSG00000121933.16	ENSG00000121933	16	2.042526826	0.299916723	6.810313221	9.74E-12	1.31E-09
ENSG00000268001.1	ENSG00000268001	1	2.0388942	0.384836093	5.298084657	1.17E-07	5.32E-06
ENSG00000112486.13	ENSG00000112486	13	2.038746837	0.633790604	3.216751441	0.001296509	0.009787563
ENSG00000115415.17	ENSG00000115415	17	2.037644626	0.297787563	6.842611573	7.78E-12	1.06E-09
ENSG00000100453.11	ENSG00000100453	11	2.036125537	0.479083579	4.250042425	2.14E-05	0.000395844
ENSG00000102575.9	ENSG00000102575	9	2.034426066	0.288956923	7.040585993	1.91E-12	2.87E-10
ENSG00000110077.13	ENSG00000110077	13	2.033808358	0.342211801	5.943127478	2.80E-09	2.09E-07
ENSG00000165949.11	ENSG00000165949	11	2.031006525	0.287755869	7.058088963	1.69E-12	2.61E-10
ENSG00000211807.3	ENSG00000211807	3	2.026356231	0.729544804	2.777562419	0.005476832	0.02850758
ENSG00000055332.15	ENSG00000055332	15	2.023491838	0.276992906	7.305211768	2.77E-13	4.81E-11
ENSG00000095917.12	ENSG00000095917	12	2.02207185	0.509860906	3.965928409	7.31E-05	0.001049274
ENSG00000172602.8	ENSG00000172602	8	2.019682195	0.357595099	5.647958259	1.62E-08	9.65E-07
ENSG00000221963.5	ENSG00000221963	5	2.018609576	0.304615588	6.626744192	3.43E-11	4.03E-09
ENSG00000211810.3	ENSG00000211810	3	2.018039904	0.779840003	2.587761458	0.009660185	0.043697364
ENSG00000232295.6	ENSG00000232295	6	2.017805298	0.490800679	4.111252053	3.94E-05	0.000647203
ENSG00000136867.9	ENSG00000136867	9	2.012490886	0.321834448	6.253186696	4.02E-10	3.62E-08
ENSG00000211803.2	ENSG00000211803	2	2.007451434	0.630910664	3.181831516	0.001463469	0.010738713
ENSG00000187037.7	ENSG00000187037	7	2.005333449	0.517928475	3.871834711	0.000108019	0.001430327
ENSG00000081041.8	ENSG00000081041	8	2.002525606	0.446249627	4.487456091	7.21E-06	0.000165861
ENSG00000109861.14	ENSG00000109861	14	2.001367512	0.302236364	6.621862057	3.55E-11	4.14E-09
ENSG00000150637.7	ENSG00000150637	7	2.001020884	0.444896014	4.497727157	6.87E-06	0.000159366
ENSG00000168062.8	ENSG00000168062	8	2.00008418	0.214309533	9.332688786	1.03E-20	5.22E-18
ENSG00000175800.5	ENSG00000175800	5	1.997814523	0.637386544	3.13438453	0.00172215	0.012181349
ENSG00000114771.12	ENSG00000114771	12	1.996209342	0.38232504	5.221236211	1.78E-07	7.59E-06
ENSG00000164398.11	ENSG00000164398	11	1.99386905	0.524208907	3.803577205	0.000142622	0.001791584
ENSG00000111912.17	ENSG00000111912	17	1.993636862	0.283856186	7.023404666	2.17E-12	3.22E-10
ENSG00000141433.11	ENSG00000141433	11	1.983718634	0.594581701	3.336326411	0.000848934	0.007050355
ENSG00000155622.6	ENSG00000155622	6	1.977239691	0.507717675	3.894368445	9.85E-05	0.0013292
ENSG00000150526.10	ENSG00000150526	10	1.976682176	0.632855049	3.123435895	0.001787528	0.012538586
ENSG00000237181.1	ENSG00000237181	1	1.976566193	0.410621274	4.813599095	1.48E-06	4.52E-05
ENSG00000183918.13	ENSG00000183918	13	1.971547108	0.46067938	4.2796513	1.87E-05	0.000355789
ENSG00000004468.11	ENSG00000004468	11	1.970581406	0.369212493	5.33725549	9.44E-08	4.43E-06
ENSG00000251537.4	ENSG00000251537	4	1.966528295	0.588901218	3.339317758	0.000839844	0.006999831
ENSG00000175592.7	ENSG00000175592	7	1.965186065	0.501277709	3.920353985	8.84E-05	0.001227542
ENSG00000169224.11	ENSG00000169224	11	1.96500628	0.430178082	4.567890281	4.93E-06	0.000124737
ENSG00000163376.10	ENSG00000163376	10	1.961584631	0.341073451	5.751208791	8.86E-09	5.76E-07
ENSG00000099715.13	ENSG00000099715	13	1.958231853	0.588505685	3.327464632	0.000876401	0.007240887
ENSG00000163599.13	ENSG00000163599	13	1.956775332	0.355982273	5.496833639	3.87E-08	2.04E-06
ENSG00000196684.11	ENSG00000196684	11	1.956047916	0.331296315	5.904224783	3.54E-09	2.59E-07
ENSG00000030419.15	ENSG00000030419	15	1.954050502	0.314806932	6.207139374	5.40E-10	4.72E-08
ENSG00000106560.9	ENSG00000106560	9	1.952232435	0.396630563	4.922042361	8.56E-07	2.87E-05
ENSG00000143119.11	ENSG00000143119	11	1.951438445	0.405012478	4.818218081	1.45E-06	4.46E-05
ENSG00000135838.12	ENSG00000135838	12	1.950709374	0.255569274	7.632800871	2.30E-14	4.98E-12
ENSG00000102879.14	ENSG00000102879	14	1.950243489	0.419617541	4.647669123	3.36E-06	9.06E-05
ENSG00000238025.1	ENSG00000238025	1	1.949545174	0.697914257	2.793387806	0.005215912	0.027526607
ENSG00000184293.6	ENSG00000184293	6	1.947896687	0.454295084	4.28773446	1.81E-05	0.000346007
ENSG00000277511.1	ENSG00000277511	1	1.946053115	0.333732603	5.831174705	5.50E-09	3.82E-07
ENSG00000125848.9	ENSG00000125848	9	1.945089117	0.206388054	9.424426861	4.32E-21	2.34E-18
ENSG00000279185.1	ENSG00000279185	1	1.943882379	0.754451284	2.576551223	0.009979142	0.044718138
ENSG00000171401.13	ENSG00000171401	13	1.9382825	0.686877793	2.821873875	0.004774395	0.025727931
ENSG00000197540.6	ENSG00000197540	6	1.937578337	0.532355712	3.639630969	0.000273029	0.002980306
ENSG00000187908.14	ENSG00000187908	14	1.936568346	0.302327196	6.405538	1.50E-10	1.50E-08
ENSG00000267740.4	ENSG00000267740	4	1.935656224	0.359491185	5.384433068	7.27E-08	3.51E-06
ENSG00000124635.8	ENSG00000124635	8	1.935126811	0.482312982	4.012180645	6.02E-05	0.000905071
ENSG00000118596.10	ENSG00000118596	10	1.927736412	0.301843994	6.38653229	1.70E-10	1.69E-08
ENSG00000198865.8	ENSG00000198865	8	1.926551946	0.379862924	5.071703032	3.94E-07	1.46E-05
ENSG00000096060.13	ENSG00000096060	13	1.926067876	0.368763356	5.223045741	1.76E-07	7.53E-06
ENSG00000162772.15	ENSG00000162772	15	1.924573668	0.270990098	7.102007346	1.23E-12	1.94E-10
ENSG00000229047.1	ENSG00000229047	1	1.923622845	0.569995085	3.374806022	0.000738677	0.006366442
ENSG00000117228.9	ENSG00000117228	9	1.923055333	0.345912164	5.559374703	2.71E-08	1.50E-06
ENSG00000088827.11	ENSG00000088827	11	1.917578132	0.214250336	8.950175618	3.55E-19	1.50E-16
ENSG00000147697.7	ENSG00000147697	7	1.916845825	0.612055712	3.131815923	0.001737288	0.012276976
ENSG00000279296.1	ENSG00000279296	1	1.915786892	0.271621166	7.053157593	1.75E-12	2.69E-10
ENSG00000189068.8	ENSG00000189068	8	1.915420438	0.719463536	2.662289806	0.007761103	0.037112784
ENSG00000249948.5	ENSG00000249948	5	1.909855423	0.602742601	3.168608654	0.001531705	0.011124654
ENSG00000213413.2	ENSG00000213413	2	1.909222895	0.486871478	3.921410434	8.80E-05	0.001223314
ENSG00000137628.15	ENSG00000137628	15	1.907308068	0.257624297	7.403447916	1.33E-13	2.42E-11
ENSG00000112799.7	ENSG00000112799	7	1.906962674	0.36232214	5.263169048	1.42E-07	6.22E-06
ENSG00000072401.13	ENSG00000072401	13	1.906794779	0.284830589	6.69448737	2.16E-11	2.63E-09
ENSG00000112096.15	ENSG00000112096	15	1.904923514	0.272003414	7.003307367	2.50E-12	3.60E-10
ENSG00000277734.3	ENSG00000277734	3	1.902122855	0.449383169	4.232741649	2.31E-05	0.000420386
ENSG00000115828.14	ENSG00000115828	14	1.901540544	0.328918015	5.781199135	7.42E-09	4.92E-07
ENSG00000240065.6	ENSG00000240065	6	1.900224503	0.36850143	5.156627222	2.51E-07	1.01E-05
ENSG00000211793.2	ENSG00000211793	2	1.897777746	0.729619554	2.601051103	0.009293861	0.042445891
ENSG00000162706.11	ENSG00000162706	11	1.895220626	0.515959842	3.673194061	0.000239537	0.002679288
ENSG00000112818.8	ENSG00000112818	8	1.890804424	0.558916349	3.382982848	0.000717031	0.006222288
ENSG00000160654.8	ENSG00000160654	8	1.890704455	0.464570425	4.069790832	4.71E-05	0.000747435
ENSG00000183625.13	ENSG00000183625	13	1.889886844	0.697254258	2.710470136	0.00671879	0.033131086
ENSG00000005059.14	ENSG00000005059	14	1.887800851	0.414428445	4.555191314	5.23E-06	0.000130778
ENSG00000155719.15	ENSG00000155719	15	1.886880382	0.610508405	3.090670605	0.00199705	0.013609839
ENSG00000128342.4	ENSG00000128342	4	1.881589702	0.469690968	4.006016365	6.18E-05	0.000921091
ENSG00000279184.1	ENSG00000279184	1	1.876219028	0.671029631	2.796030074	0.005173459	0.027360192
ENSG00000211792.2	ENSG00000211792	2	1.875377332	0.740389418	2.532960747	0.011310362	0.049018746
ENSG00000100122.5	ENSG00000100122	5	1.874955641	0.41465059	4.52177252	6.13E-06	0.000146163
ENSG00000065911.10	ENSG00000065911	10	1.872411409	0.351219035	5.33117862	9.76E-08	4.55E-06
ENSG00000273768.1	ENSG00000273768	1	1.871568046	0.51095653	3.662871371	0.000249404	0.002765859
ENSG00000185477.4	ENSG00000185477	4	1.870543799	0.366194865	5.108055781	3.25E-07	1.25E-05
ENSG00000216490.3	ENSG00000216490	3	1.869342984	0.293450728	6.370210747	1.89E-10	1.84E-08
ENSG00000263961.5	ENSG00000263961	5	1.868608853	0.32788192	5.69902986	1.20E-08	7.35E-07
ENSG00000274752.1	ENSG00000274752	1	1.865512414	0.698492271	2.670770302	0.007567741	0.036410257
ENSG00000171631.13	ENSG00000171631	13	1.863759259	0.236340129	7.885919607	3.12E-15	7.48E-13
ENSG00000183813.6	ENSG00000183813	6	1.862309065	0.471970587	3.945815943	7.95E-05	0.001124368
ENSG00000228956.7	ENSG00000228956	7	1.861617936	0.57684493	3.227241565	0.001249899	0.0095183
ENSG00000211778.2	ENSG00000211778	2	1.858742468	0.65643302	2.831579784	0.004631868	0.025114476
ENSG00000170458.12	ENSG00000170458	12	1.857988531	0.192221046	9.665895431	4.21E-22	2.59E-19
ENSG00000175874.8	ENSG00000175874	8	1.856033096	0.508858071	3.647447495	0.000264858	0.002910604
ENSG00000240535.7	ENSG00000240535	7	1.854689671	0.67742717	2.737843644	0.006184347	0.031102101
ENSG00000211721.2	ENSG00000211721	2	1.852019673	0.609454514	3.038815254	0.002375105	0.015446323
ENSG00000185947.13	ENSG00000185947	13	1.848914781	0.362207095	5.104579141	3.32E-07	1.27E-05
ENSG00000116824.4	ENSG00000116824	4	1.847655308	0.44076953	4.191885284	2.77E-05	0.000487008
ENSG00000089692.7	ENSG00000089692	7	1.846634871	0.398634477	4.632401299	3.61E-06	9.66E-05
ENSG00000165389.6	ENSG00000165389	6	1.842394051	0.235315833	7.829452123	4.90E-15	1.16E-12
ENSG00000230043.1	ENSG00000230043	1	1.842141911	0.538887234	3.418418168	0.000629863	0.005624532
ENSG00000175550.6	ENSG00000175550	6	1.840358849	0.33123155	5.556109762	2.76E-08	1.52E-06
ENSG00000166923.9	ENSG00000166923	9	1.839126699	0.4767486	3.857644679	0.000114485	0.001500234
ENSG00000186265.8	ENSG00000186265	8	1.837863814	0.552555817	3.326114319	0.000880658	0.007268295
