"SYMBOL"	"ENSEMBL"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"129"	"CYP4F29P"	"ENSG00000228314"	513.756527741195	-1.58047666145605	0.462933285091769	-3.41404844359538	0.000640051941670954	0.0243419754066735
"130"	"CCDC81"	"ENSG00000149201"	4437.81180667129	-1.57600834047115	0.45698635573474	-3.44869889591617	0.000563294450005139	0.0226089675196981
"131"	"DAW1"	"ENSG00000123977"	4209.26160097087	-1.57418001269932	0.512505631669773	-3.07153700452139	0.00212959765664216	0.0470107003210337
"132"	"CFAP77"	"ENSG00000188523"	3758.18631326199	-1.57372371679054	0.502395396605477	-3.13244055861912	0.00173359526949206	0.0423728325280528
"133"	"STMND1"	"ENSG00000230873"	3971.71880787887	-1.5736266128315	0.483571388725429	-3.2541764246623	0.00113721630528296	0.0339856663699115
"134"	"CNGA4"	"ENSG00000132259"	2295.93141030267	-1.57194249724815	0.467179252830585	-3.36475236801277	0.000766123849855697	0.0268149747315828
"135"	"C11orf16"	"ENSG00000176029"	4848.3397152567	-1.57104375988505	0.469915271814662	-3.34324899426694	0.000828035658957573	0.0281145769229841
"136"	"VNN3"	"ENSG00000093134"	1557.36296670834	-1.57092974040793	0.4662904852616	-3.36899377118236	0.000754431337223283	0.02673074374711
"137"	"C11orf88"	"ENSG00000183644"	7044.42101044935	-1.57005421497853	0.486357446670197	-3.22818993669732	0.00124576228506109	0.0359485898156135
"138"	"TTLL6"	"ENSG00000170703"	1914.25202686498	-1.56983213611468	0.460933215326937	-3.4057691741768	0.000659779369967585	0.0247558771377516
"139"	"LOC283177"	"ENSG00000255545"	1993.14601862415	-1.56909028834294	0.435874812859334	-3.59986455296585	0.000318382981337584	0.0160285216378063
"140"	"SLC28A2"	"ENSG00000137860"	1530.64229207568	-1.56575101893429	0.479809812234161	-3.26327427870558	0.00110132876355028	0.0332974189641069
"141"	"CCDC113"	"ENSG00000103021"	9049.88862615452	-1.56271445065631	0.482560097461429	-3.23838307161569	0.00120209284733803	0.0352332784186794
"142"	"C6"	"ENSG00000039537"	7850.41894115832	-1.56060750483994	0.476043052010369	-3.27829068872944	0.0010443778564164	0.032124374262584
"143"	"MAP7D2"	"ENSG00000184368"	382.684997907863	-1.55502391361617	0.431145751509275	-3.60672442711688	0.000310086670584043	0.0157811563569417
"144"	NA	"ENSG00000236164"	128.456839970381	-1.55364460347508	0.438471454694683	-3.54331983722161	0.000395123182646659	0.018310480303188
"145"	"KIF6"	"ENSG00000164627"	1843.92033388099	-1.55240753844622	0.462825448154535	-3.3541965867181	0.000795957918942162	0.0274402938659976
"146"	NA	"ENSG00000244361"	35.6472059884714	-1.55217174274755	0.404283578223138	-3.83931434853101	0.000123378382051934	0.00856943993056
"147"	"FAM92B"	"ENSG00000153789"	10512.7298630406	-1.55062237658524	0.501669468280863	-3.09092435283926	0.00199534461315569	0.045361927103819
"148"	"CFAP300"	"ENSG00000137691"	3136.57217898808	-1.55033771549367	0.440679908596826	-3.51805853920165	0.000434716454043992	0.0195315381463008
"149"	"CFAP45"	"ENSG00000213085"	9369.83249452141	-1.5492346578202	0.476727742240257	-3.24972624949406	0.0011551614849592	0.0343614507178459
"150"	"RSPH1"	"ENSG00000160188"	21337.3555526736	-1.54726935410643	0.491472395472479	-3.14823247116241	0.00164261003482581	0.0410520513257224
"151"	"LOC107985579"	"ENSG00000181123"	1512.3516793353	-1.54669816441271	0.507668971062362	-3.04666673083455	0.00231394108197086	0.0495885831113583
"152"	"CCDC173"	"ENSG00000154479"	3740.75489304538	-1.5450080707184	0.444135358542267	-3.47868738888388	0.000503876011034519	0.0212090126689733
"153"	"LOC105371267"	"ENSG00000277639"	10673.457818083	-1.54462572958455	0.498036140105151	-3.10143301901431	0.00192586436774239	0.0445879814040341
"154"	"LSMEM2"	"ENSG00000179564"	101.101905906609	-1.54300501308753	0.440742661117549	-3.50092048991826	0.000463654152264428	0.0202469612675927
"155"	"VWA8-AS1"	"ENSG00000278338"	115.247082608208	-1.54168268820872	0.489240559973491	-3.15117513619937	0.00162614949871287	0.0409266962212119
"156"	"RAB36"	"ENSG00000100228"	11010.3783456955	-1.54011879327142	0.448003705805255	-3.43773672698345	0.000586597726886745	0.0231586135025203
"157"	NA	"ENSG00000277531"	118.698326175551	-1.54010976971754	0.395035754672878	-3.89865917578241	9.67268073043647e-05	0.00720074484908636
"158"	"GLYATL1"	"ENSG00000166840"	103.223323736006	-1.5385260315225	0.419552492998213	-3.6670644489033	0.00024535097218004	0.0136533182152912
"159"	"PACRG"	"ENSG00000112530"	2453.86091178856	-1.53835527320747	0.487849488304132	-3.153339933911	0.00161413722653061	0.0407773602056122
"160"	"DRC7"	"ENSG00000159625"	4910.98947289461	-1.53787618504828	0.502831112144194	-3.05843482613954	0.00222496470761068	0.0483532508778963
"161"	"TCTE1"	"ENSG00000146221"	3663.25546404776	-1.53717596688541	0.493151722547836	-3.11704470774976	0.00182673867194555	0.0434661748258004
"162"	"FAM166B"	"ENSG00000215187"	7166.90359127697	-1.53634660737914	0.495671148869774	-3.09952800537677	0.00193829252559521	0.044801607005727
"163"	NA	"ENSG00000269091"	283.66350155897	-1.53625277832183	0.456135523274206	-3.36797442850843	0.000757226191005185	0.0267620180712451
"164"	"RSPH10B"	"ENSG00000155026"	3685.48453690346	-1.53609296789373	0.502195817684573	-3.05875300789252	0.00222260312243601	0.0483532508778963
